,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
0,2015-12-07,118.98,119.86,117.81,118.28,31801965.0,0.0,1.0,118.98,119.86,117.81,118.28,31801965.0
1,2015-12-04,115.29,119.25,115.11,119.03,56351301.0,0.0,1.0,115.29,119.25,115.11,119.03,56351301.0
2,2015-12-03,116.55,116.79,114.22,115.17,40935107.0,0.0,1.0,116.55,116.79,114.22,115.17,40935107.0
3,2015-12-02,117.05,118.11,116.08,116.28,32793916.0,0.0,1.0,117.05,118.11,116.08,116.28,32793916.0
4,2015-12-01,118.75,118.81,116.86,117.34,34501246.0,0.0,1.0,118.75,118.81,116.86,117.34,34501246.0
5,2015-11-30,117.99,119.41,117.75,118.35,37074611.0,0.0,1.0,117.99,119.41,117.75,118.35,37074611.0
6,2015-11-27,118.29,118.41,117.6,117.81,13038955.0,0.0,1.0,118.29,118.41,117.6,117.81,13038955.0
7,2015-11-25,119.21,119.23,117.92,118.03,21258090.0,0.0,1.0,119.21,119.23,117.92,118.03,21258090.0
8,2015-11-24,117.33,119.35,117.12,118.88,42342435.0,0.0,1.0,117.33,119.35,117.12,118.88,42342435.0
9,2015-11-23,119.27,119.73,117.34,117.76,31788032.0,0.0,1.0,119.27,119.73,117.34,117.76,31788032.0
10,2015-11-20,119.2,119.92,118.85,119.3,33780538.0,0.0,1.0,119.2,119.92,118.85,119.3,33780538.0
11,2015-11-19,117.64,119.75,116.76,118.78,42828053.0,0.0,1.0,117.64,119.75,116.76,118.78,42828053.0
12,2015-11-18,115.76,117.49,115.5,117.29,45727223.0,0.0,1.0,115.76,117.49,115.5,117.29,45727223.0
13,2015-11-17,114.92,115.05,113.32,113.69,27196079.0,0.0,1.0,114.92,115.05,113.32,113.69,27196079.0
14,2015-11-16,111.38,114.24,111.0,114.175,37370349.0,0.0,1.0,111.38,114.24,111.0,114.175,37370349.0
15,2015-11-13,115.2,115.57,112.27,112.34,44931935.0,0.0,1.0,115.2,115.57,112.27,112.34,44931935.0
16,2015-11-12,116.26,116.82,115.65,115.72,31820442.0,0.0,1.0,116.26,116.82,115.65,115.72,31820442.0
17,2015-11-11,116.37,117.42,115.21,116.12,44866694.0,0.0,1.0,116.37,117.42,115.21,116.12,44866694.0
18,2015-11-10,116.9,118.07,116.061,116.73,58457469.0,0.0,1.0,116.9,118.07,116.061,116.73,58457469.0
19,2015-11-09,120.96,121.81,120.05,120.57,33379072.0,0.0,1.0,120.96,121.81,120.05,120.57,33379072.0
20,2015-11-06,121.11,121.81,120.62,121.06,32697456.0,0.0,1.0,121.11,121.81,120.62,121.06,32697456.0
21,2015-11-05,121.85,122.69,120.18,120.92,38418373.0,0.52,1.0,121.85,122.69,120.18,120.92,38418373.0
22,2015-11-04,123.13,123.82,121.62,122.0,44156213.0,0.0,1.0,122.602763505,123.289808959,121.099229249,121.477602108,44156213.0
23,2015-11-03,120.79,123.49,120.7,122.57,44813352.0,0.0,1.0,120.272783267,122.961222003,120.183168643,122.045161397,44813352.0
24,2015-11-02,119.87,121.36,119.61,121.18,31688638.0,0.0,1.0,119.356722661,120.840342556,119.097835968,120.661113307,31688638.0
25,2015-10-30,120.99,121.22,119.45,119.5,48364078.0,0.0,1.0,120.471926877,120.700942029,118.93852108,118.988306983,48364078.0
26,2015-10-29,118.7,120.69,118.27,120.53,50049564.0,0.0,1.0,118.191732543,120.173211462,117.763573781,120.013896574,50049564.0
27,2015-10-28,116.93,119.3,116.06,119.28,84697735.0,0.0,1.0,116.429311594,118.789163373,115.563036891,118.769249012,84697735.0
28,2015-10-27,115.4,116.54,113.99,114.55,56542594.0,0.0,1.0,114.905862978,116.040981555,113.501900527,114.059502635,56542594.0
29,2015-10-26,118.08,118.13,114.92,115.21,65874051.0,0.0,1.0,117.574387352,117.624173254,114.427918314,114.716676548,65874051.0
